ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,FILA,FILA,NUMARVORECONTROLE,NUMARVORECONTROLE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,7,7,5,5,21.2,21.75,0,0,19.1,19.5,0.272298272,0.297030291,19.99463927,SEED,30
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,7,7,7,7,21.3,22.8,0,0,17.1,19.5,0.254075076,0.317136871,19.99463927,SEED,31
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,7,7,8,8,21.55,22.35,0,0,17.1,19.4,0.260310507,0.30419467,19.99463927,SEED,32
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,7,7,8,8,22.35,22.65,0,0,19.4,19.7,0.30419467,0.322821648,19.99463927,SEED,32
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,7,7,10,10,22.4,23.95,18.5,0,18.5,19.7,0.296137306,0.351384772,19.99463927,SEED,33
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,7,7,10,10,23.95,24.85,0,21.8,19.7,21.8,0.351384772,0.414691182,19.99463927,SEED,33
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,7,7,12,12,23.7,24.25,0,0,17.5,19.7,0.316885909,0.360595667,19.99463927,SEED,34
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,7,7,12,12,24.25,24.95,0,0,19.7,20.2,0.360595667,0.393215594,19.99463927,SEED,34
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,8,8,2,2,25.15,26.65,17,0,17,20.2,0.346928269,0.438382752,19.99463927,SEED,35
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,8,8,4,4,22.65,24,0,0,17.3,19.7,0.288597202,0.352911985,19.99463927,SEED,36
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,8,8,4,4,24,24.35,0,0,19.7,20.1,0.352911985,0.374234725,19.99463927,SEED,36
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,8,8,6,6,16.7,17.75,0,0,15.8,18.1,0.152277059,0.186851651,19.99463927,SEED,37
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,8,8,6,6,17.75,18.15,0,0,18.1,18.5,0.186851651,0.20391358,19.99463927,SEED,37
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,8,8,11,11,25.15,27.1,17.2,19.8,17.2,19.8,0.349836511,0.446646152,19.99463927,SEED,38
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,8,8,11,11,27.1,27.4,19.8,21.3,19.8,21.3,0.446646152,0.48721503,19.99463927,SEED,38
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,9,9,3,3,23.7,25.25,0,0,17.5,19.9,0.316885909,0.39212268,19.99463927,SEED,39
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,9,9,3,3,25.25,26.65,0,20.1,19.9,20.1,0.39212268,0.441789498,19.99463927,SEED,39
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,9,9,7,7,22.2,23.15,0,0,17.2,19.5,0.276858069,0.327381791,19.99463927,SEED,40
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,9,9,7,7,23.15,23.5,0,0,19.5,19.9,0.327381791,0.348089433,19.99463927,SEED,40
