base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Tapajos_A01_2015_2016,janita,Brosimum guianense,Moraceae,FALSE,EXPLORADAS,,30.5,,,1,,,,,,,35,c035,,726267.2443,9682956.536
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,11,,,1,,,,,,,15,c015,,726237.2294,9682954.213
Tapajos_A01_2015_2016,cacau do mato,Theobroma glaucum,Malvaceae,FALSE,EXPLORADAS,,12,,,1,,,,,,,15,c015,,726264.9509,9682957.322
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,12.9,,,1,,,,,,,15,c015,,726244.586,9682954.064
Tapajos_A01_2015_2016,fava amarela,Parkia sp,Fabaceae,FALSE,EXPLORADAS,,33.3,,,1,,,,,,,35,c035,,726260.8203,9682951.773
Tapajos_A01_2015_2016,breu barrote,Tetragastris panamensis,Burseraceae,FALSE,EXPLORADAS,,16,,,1,,,,,,,15,c015,Intermediate,726244.2167,9682955.03
Tapajos_A01_2015_2016,uxi,Endopleura uchi,Humiriaceae,FALSE,EXPLORADAS,,28,,,1,,,,,,,25,c025,,726258.562,9682956.099
Tapajos_A01_2015_2016,breu folha grande,Protium robustum,Burseraceae,FALSE,EXPLORADAS,,12.5,,,1,,,,,,,15,c015,,726242.3625,9682957.15
Tapajos_A01_2015_2016,ucuuba terra firme,Virola sebifera,Myristicaceae,FALSE,EXPLORADAS,,14.8,,,1,,,,,,,15,c015,,726259.7719,9682963.387
Tapajos_A01_2015_2016,tauari,Couratari stellata,Lecythidaceae,FALSE,EXPLORADAS,,56,,,1,36.1,27.27,,,,,55,c055,,726262.2251,9682965.205
Tapajos_A01_2015_2016,envira surucucu,Duguetia surinamensis,Annonaceae,FALSE,EXPLORADAS,,21.7,,,1,,,,,,,25,c025,,726234.2644,9682956.401
Tapajos_A01_2015_2016,quaruba,Vochysia guianensis,Vochysiaceae,FALSE,EXPLORADAS,,37,,,1,30.93,19.77,,,,,35,c035,,726261.7327,9682966.033
Tapajos_A01_2015_2016,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,EXPLORADAS,,40.5,,,1,,,,,,,45,c045,,726238.1981,9682959.787
Tapajos_A01_2015_2016,abiu cutite,Pouteria macrophylla,Sapotaceae,FALSE,EXPLORADAS,,27.6,,,1,,,,,,,25,c025,,726264.2397,9682967.124
Tapajos_A01_2015_2016,cuiarana,,,FALSE,,,15.1,,,1,,,,,,,15,c015,,726264.5276,9682969.305
Tapajos_A01_2015_2016,tauari,Couratari stellata,Lecythidaceae,FALSE,EXPLORADAS,,46,,,1,,,,,,,45,c045,,726234.9022,9682960.126
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,11,,,1,,,,,,,15,c015,,726264.8563,9682970.468
Tapajos_A01_2015_2016,sucupira tento,Ormosia nobilis,Fabaceae,FALSE,EXPLORADAS,,24.7,,,1,,,,,,,25,c025,,726233.603,9682960.738
Tapajos_A01_2015_2016,coracao de negro,Swartzia corrugata,Fabaceae,FALSE,EXPLORADAS,,41.2,,,1,24.84,13.79,,,,,45,c045,,726256.1285,9682967.843
Tapajos_A01_2015_2016,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,EXPLORADAS,,10.5,,,1,,,,,,,15,c015,,726231.9053,9682962.348
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,13.5,,,1,,,,,,,15,c015,,726254.8932,9682968.388
Tapajos_A01_2015_2016,caqui,Diospyros guianensis,Ebenaceae,FALSE,EXPLORADAS,,19,,,1,,,,,,,15,c015,Shade-tolerant,726236.4887,9682964.183
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,11.6,,,1,,,,,,,15,c015,,726257.6192,9682969.514
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,12.8,,,1,,,,,,,15,c015,,726241.0981,9682960.442
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,11.6,,,1,,,,,,,15,c015,,726257.8906,9682971.713
Tapajos_A01_2015_2016,louro pimenta,Ocotea canaliculata,Lauraceae,FALSE,EXPLORADAS,,42.6,,,1,,,,,,,45,c045,,726240.8938,9682963.72
Tapajos_A01_2015_2016,ucuuba terra firme,Virola sebifera,Myristicaceae,FALSE,EXPLORADAS,,10.5,,,1,,,,,,,15,c015,,726259.4365,9682970.265
Tapajos_A01_2015_2016,copaiba,Copaifera reticulata,Fabaceae,FALSE,EXPLORADAS,,98.6,,,1,,,,,,,95,c095,,726241.2609,9682968.305
Tapajos_A01_2015_2016,coracao de negro,Chamaecrista xinguensis,Fabaceae,FALSE,EXPLORADAS,,16.6,,,1,,,,,,,15,c015,,726258.0303,9682972.808
Tapajos_A01_2015_2016,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,EXPLORADAS,,17.3,,,1,,,,,,,15,c015,,726242.1829,9682968.666
Tapajos_A01_2015_2016,chichua,Maytenus myrsinoides,Celastraceae,FALSE,EXPLORADAS,,57.5,,,1,33.12,24.37,,,,,55,c055,,726255.6914,9682975.001
Tapajos_A01_2015_2016,tachi preto,Tachigali myrmecophila,Fabaceae,FALSE,EXPLORADAS,,42.8,,,1,3.85,2.27,,,,,45,c045,,726252.2589,9682975.772
Tapajos_A01_2015_2016,breu barrote,Tetragastris panamensis,Burseraceae,FALSE,EXPLORADAS,,11.2,,,1,,,,,,,15,c015,Intermediate,726231.7994,9682968.009
Tapajos_A01_2015_2016,abiu,Pouteria sp,Sapotaceae,FALSE,EXPLORADAS,,14.5,,,1,,,,,,,15,c015,Shade-tolerant,726250.81,9682979.833
Tapajos_A01_2015_2016,breu branco,Protium paniculatum,Burseraceae,FALSE,EXPLORADAS,,27.3,,,1,,,,,,,25,c025,,726247.9644,9682983.31
Tapajos_A01_2015_2016,sucupira babona,Diplotropis sp,Fabaceae,FALSE,EXPLORADAS,,12,,,1,,,,,,,15,c015,,726234.7649,9682971.368
Tapajos_A01_2015_2016,goiabarana,Marlierea velutina,Myrtaceae,FALSE,EXPLORADAS,,15.6,,,1,,,,,,,15,c015,,726258.1861,9682986.128
Tapajos_A01_2015_2016,jatoba,Hymenaea courbaril,Fabaceae,FALSE,EXPLORADAS,,14.4,,,1,,,,,,,15,c015,Emergent,726235.3256,9682972.687
Tapajos_A01_2015_2016,goiabarana,Marlierea velutina,Myrtaceae,FALSE,EXPLORADAS,,12.6,,,1,,,,,,,15,c015,,726258.125,9682986.308
Tapajos_A01_2015_2016,louro preto,Nectandra cuspidata,Lauraceae,FALSE,EXPLORADAS,,20.4,,,1,,,,,,,25,c025,Intermediate,726234.9511,9682973.658
Tapajos_A01_2015_2016,louro preto,Ocotea cernua,Lauraceae,FALSE,EXPLORADAS,,17,,,1,,,,,,,15,c015,Intermediate,726258.986,9682986.906
Tapajos_A01_2015_2016,freijo branco,Cordia scabrifolia,Boraginaceae,FALSE,EXPLORADAS,,13.5,,,1,,,,,,,15,c015,,726227.9735,9682972.258
Tapajos_A01_2015_2016,tinteiro,Miconia poeppigii,Melastomataceae,FALSE,EXPLORADAS,,16.2,,,1,,,,,,,15,c015,,726226.4008,9682976.222
Tapajos_A01_2015_2016,muiratinga,Maquira coriacea,Moraceae,FALSE,EXPLORADAS,,56.2,,,1,27.47,17.34,,,,,55,c055,,726235.3555,9682978.203
Tapajos_A01_2015_2016,cumaru,Dipteryx odorata,Fabaceae,FALSE,EXPLORADAS,,14.5,,,1,,,,,,,15,c015,Emergent,726261.8886,9682981.437
Tapajos_A01_2015_2016,tauari,Couratari stellata,Lecythidaceae,FALSE,EXPLORADAS,,15.9,,,1,,,,,,,15,c015,,726238.2093,9682979.194
Tapajos_A01_2015_2016,coracao de negro,Chamaecrista xinguensis,Fabaceae,FALSE,EXPLORADAS,,17.7,,,1,,,,,,,15,c015,,726264.845,9682988.44
Tapajos_A01_2015_2016,pau de colher,Lacmellea aculeata,Apocynaceae,FALSE,EXPLORADAS,,18.1,,,1,,,,,,,15,c015,,726239.5191,9682978.57
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,13.3,,,1,,,,,,,15,c015,,726267.6431,9682989.604
Tapajos_A01_2015_2016,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,EXPLORADAS,,12.5,,,1,,,,,,,15,c015,Shade-tolerant,726241.7696,9682978.287
Tapajos_A01_2015_2016,breu branco,Protium paniculatum,Burseraceae,FALSE,EXPLORADAS,,12.7,,,1,,,,,,,15,c015,,726270.6339,9682990.163
Tapajos_A01_2015_2016,envira surucucu,Duguetia surinamensis,Annonaceae,FALSE,EXPLORADAS,,18.4,,,1,,,,,,,15,c015,,726242.1229,9682977.339
