"","parcela","arv","comum.nome","cientifico.nome","familia.nome","dap.2012","tipo","vert.2012","Luz.2012","Hcom.2012","Htot.2012","dap.2014","UTM.leste","UTM.norte"
"96","T01",165,"matamata preto","Eschweilera ovata","Lecythidaceae",44.5,"O","E",1,17.22,24.42,45.1,778262.6782,9586849.219
"97","T01",167,"tauari","Couratari stellata","Lecythidaceae",50,"O","E",1,26.53,37.42,50.5,778234.6295,9586845.9
"98","T01",168,"matamata","Eschweilera parviflora","Lecythidaceae",55,"O","C",1,19.2,28.16,56.5,778231.452,9586862.904
"99","T01",169,"uxirana","Sacoglottis guianensis","Humiriaceae",42.7,"O","C",1,23.65,36.1,NA,778200.6045,9586844.438
"100","T01",170,"seringarana","Micrandra minor","Euphorbiaceae",38,"O","C",2,23.16,31.97,39,778192.0436,9586844.771
"101","T01",171,"matamata preto","Eschweilera ovata","Lecythidaceae",35.5,"O","C",2,19.01,26.08,35.6,778185.2387,9586846.244
"102","T01",172,"louro preto","Nectandra cuspidata","Lauraceae",49.8,"O","C",1,22.11,37.04,51.4,778156.9642,9586858.038
"103","T01",173,"sucupira tento","Ormosia nobilis","Fabaceae",52.1,"O","C",1,19.53,31.48,60.1,778143.915,9586854.643
"104","T01",175,"inhare","Helicostylis sp.","Moraceae",35.3,"O","C",1,13.26,19.2,35.4,778132.812,9586855.478
"105","T01",176,"matamata preto","Eschweilera ovata","Lecythidaceae",35.3,"O","C",1,9.93,18.11,36.6,778124.6644,9586855.54
"106","T01",178,"abiurana","Pouteria gongrijpii","Sapotaceae",48.5,"O","C",1,15.04,26.54,49.7,778101.2936,9586850.126
"107","T01",179,"casca seca","Licania canescens","Chrysobalanaceae",46.4,"O","E",1,13.95,20.39,46.9,778066.2493,9586846.412
"108","T01",180,"cajuacu","Anacardium spruceanum","Anacardiaceae",93.9,"O","E",1,30.83,42.56,94.9,778060.7323,9586848.764
"109","T01",181,"parajuba","Manilkara bidentata","Sapotaceae",37,"O","C",2,15.09,23.73,37,778052.253,9586842.917
"110","T01",182,"tachi preto","Tachigali myrmecophila","Fabaceae",50.5,"O","E",1,26.23,37.25,NA,778038.414,9586842.456
"111","T01",183,"louro preto","Nectandra cuspidata","Lauraceae",41.3,"O","S",2,14.75,24.36,41.2,778014.4741,9586828.857
"112","T01",184,"matamata branco","Eschweilera coriacea","Lecythidaceae",39.1,"O","C",1,18.51,28.87,39.9,778013.3147,9586839.796
"113","T01",185,"muirapiranga","Brosimum rubescens","Moraceae",56,"O","E",1,24.8,37.88,55.9,777991.6907,9586822.42
"114","T01",186,"matamata vermelho","Eschweilera coriacea","Lecythidaceae",43.5,"O","C",2,22.66,30.86,44.1,777984.0138,9586840.633
"115","T01",187,"matamata branco","Eschweilera coriacea","Lecythidaceae",36.8,"O","C",2,24.16,41.8,40.4,777981.6403,9586822.361
"116","T01",188,"jatereu","Lecythis idatimon","Lecythidaceae",54,"O","C",2,25.23,46.18,54.1,777978.7989,9586822.06
"117","T02",1,"abiurana","Pouteria gongrijpii","Sapotaceae",24.5,"O","S",2,13.18,22.99,24.6,779061.2644,9585320.211
"118","T02",2,"casca seca","Licania canescens","Chrysobalanaceae",72.5,"O","C",1,19.63,33.58,73.2,779061.2755,9585326.528
"119","T02",4,"timborana","Pseudopiptadenia suaveolens","Fabaceae",10.3,"O","S",2,4.77,9.34,11,779050.0429,9585320.864
"120","T02",6,"inga","Inga marginata","Fabaceae",10.6,"O","S",2,6.4,10.59,10.6,779046.3378,9585321.547
"121","T02",8,"jatereu","Lecythis idatimon","Lecythidaceae",15.5,"O","S",2,10.01,16.03,16,779035.6054,9585322.456
"122","T02",11,"maracatiara","Astronium graveolens","Anacardiaceae",23.9,"O","C",1,14.6,15.84,24,779021.5975,9585323.522
"123","T02",12,"liana",NA,NA,22,"L",NA,NA,NA,NA,24,779016.386,9585322.923
"124","T02",13,"parajuba","Manilkara bidentata","Sapotaceae",26.4,"O","C",1,12.72,18.86,26.8,779014.1266,9585324.09
"125","T02",14,"inga","Inga marginata","Fabaceae",14.4,"O","S",2,4.8,10.57,15.3,779013.1927,9585324.161
"126","T02",16,"louro","Ocotea canaliculata","Lauraceae",12.5,"O","S",2,8.54,14.23,12.4,778967.3583,9585326.653
"127","T02",17,"breu branco","Protium paniculatum","Burseraceae",44.5,"O","S",2,10.18,18.86,46.3,778959.3328,9585332.278
"128","T02",18,"tento","Ormosia grossa","Fabaceae",50,"O","S",1,20.71,34.88,50.1,778953.1869,9585331.743
"129","T02",19,"macucu","Licania guianensis","Chrysobalanaceae",12.2,"O","S",2,11.72,16.66,12.1,778939.3576,9585328.984
"130","T02",20,"guajara branco","Pouteria sp.","Sapotaceae",55.4,"O","C",1,20.91,36.12,55.7,778933.9669,9585332.203
"131","T02",22,"casca seca","Licania canescens","Chrysobalanaceae",37.9,"O","C",2,20.21,35.23,38,778926.7353,9585329.744
"132","T02",23,"muirapiranga","Brosimum rubescens","Moraceae",74.5,"O","C",1,28.64,43.72,76.5,778923.3033,9585334.017
"133","T02",24,"abiurana","Pouteria gongrijpii","Sapotaceae",55.3,"O","C",1,13.26,25.51,55.3,778922.2936,9585333.091
"134","T02",25,"papo-de-mutum","Lacunaria jenmanii","Ochnaceae",10.9,"O","C",1,4.8,10.14,10.2,778920.6804,9585330.405
"135","T02",26,"uxirana","Sacoglottis guianensis","Humiriaceae",22.8,"O","S",2,11.44,20.45,23.2,778914.6704,9585331.657
"136","T02",27,"tento","Ormosia grossa","Fabaceae",17.4,"O","S",2,11.24,13.34,17.4,778909.941,9585331.223
"137","T02",29,"piquia","Caryocar villosum","Caryocaraceae",88,"O","E",1,22.01,35.15,88.3,778907.6063,9585331.4
"138","T02",31,"preciosa","Aniba canelilla","Lauraceae",10.3,"O","S",2,5.79,11.39,10.8,778894.0957,9585332.829
"139","T02",33,"mapatirana","Pourouma villosa","Urticaceae",58.2,"O","E",1,13.39,27.06,59.1,778880.9644,9585339.244
"140","T02",35,"abiurana","Pouteria gongrijpii","Sapotaceae",40.8,"O","C",1,20.7,31.01,47.7,778855.7713,9585337.635
"141","T02",36,"casca seca","Licania canescens","Chrysobalanaceae",20.4,"O","S",2,14.77,24.54,20.8,778854.6478,9585336.261
"142","T02",37,"abiurana","Pouteria gongrijpii","Sapotaceae",18.8,"O","S",2,14.13,24.36,19.3,778836.1683,9585339.33
"143","T02",38,"capueiro","Rinorea guianensis","Violaceae",27.2,"O","S",2,12.45,22.94,27.2,778832.2973,9585338.907
"144","T02",41,"coco-pau","Couepia robusta","Chrysobalanaceae",43.4,"O","C",1,26.53,35.38,49.7,778822.1984,9585340.248
"145","T02",42,"matamata","Eschweilera amazonica","Lecythidaceae",35,"O","C",1,16.82,30.76,36,778820.488,9585341.869
"146","T02",43,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,"O","S",3,10.08,16,12.9,778818.201,9585340.739
"147","T02",45,"matamata","Eschweilera parviflora","Lecythidaceae",10.4,"O","S",2,6.4,11.91,10.6,778817.8273,9585341.583
"148","T02",46,"jatereu","Lecythis idatimon","Lecythidaceae",15.8,"O","S",2,9.63,14.28,15.8,778815.6633,9585341.454
"149","T02",47,"fava","Parkia sp.","Fabaceae",40.8,"O","S",1,12.56,22.84,44,778791.8409,9585343.776
"150","T02",49,"casca seca","Licania canescens","Chrysobalanaceae",17.5,"O","S",2,17.15,27.97,17.5,778783.611,9585344.787
"151","T02",50,"matamata","Eschweilera amazonica","Lecythidaceae",24,"O","S",2,16.75,27.47,24.4,778779.3785,9585345.307
"152","T02",51,"morta",NA,NA,58.9,"O",NA,NA,NA,5.27,58.9,778778.1071,9585350.501
"153","T02",52,"parajuba","Manilkara bidentata","Sapotaceae",39.8,"O","S",2,19.95,28.26,40.6,778776.5812,9585345.853
"154","T02",55,"amapa amargoso","Brosimum guianense","Moraceae",48.6,"O","E",1,20.24,30.26,51.2,778759.305,9585348.045
"155","T02",56,"manguerana","Tovomita sp.","Clusiaceae",10.6,"O","S",2,4.79,8.31,10.7,778751.4609,9585348.13
"156","T02",57,"jatereu","Lecythis idatimon","Lecythidaceae",32.7,"O","E",1,14.91,20.84,33.3,778741.2511,9585349.386
"157","T02",58,"breu barrote","Tetragastris panamensis","Burseraceae",17.1,"O","S",2,6.92,13.23,17.2,778739.7804,9585349.404
"158","T02",59,"ingarana","Inga sp.","Fabaceae",34.5,"O","S",1,8.35,20,34.7,778734.834,9585348.871
"159","T02",60,"matamata","Eschweilera amazonica","Lecythidaceae",11.3,"O","S",1,6.66,14.72,11.4,778723.1685,9585350.345
"160","T02",61,"fava vermelha","Stryphnodendron pulcherrimum","Fabaceae",23.5,"O","E",1,10.46,17.12,25.7,778716.8031,9585350.52
"161","T02",62,"parapara","Jacaranda copaia","Bignoniaceae",11.1,"O","S",1,10.55,11.58,11.7,778708.0719,9585351.867
"162","T02",64,"cajuacu","Anacardium spruceanum","Anacardiaceae",20.8,"O","S",2,11.1,15.98,21,778699.2892,9585352.523
"163","T02",65,"abiu cutite",NA,NA,21,"O","S",2,8.33,18.05,21.5,778699.2227,9585351.634
"164","T02",66,"abiu cutite",NA,NA,42,"O","C",1,14.22,21.94,42.5,778694.9581,9585353.657
"165","T02",67,"casca seca","Licania canescens","Chrysobalanaceae",10.4,"O","S",2,7.14,12.09,10.4,778693.3676,9585352.071
"166","T02",69,"embauba","Cecropia ficifolia","Urticaceae",25.3,"O","S",1,13.28,20.13,27.4,778684.5774,9585352.628
"167","T02",72,"breu branco","Protium paniculatum","Burseraceae",12.8,"O","S",2,10.96,15.91,13.6,778669.4516,9585353.759
"168","T02",74,"tamanqueira","Zanthoxylum rhoifolium","Rutaceae",32,"O","S",2,15.09,21.69,32.5,778655.3092,9585354.916
"169","T02",75,"breu branco","Protium paniculatum","Burseraceae",54.3,"O","S",1,23.59,35.56,54.6,778653.1603,9585358.988
"170","T02",77,"macucu","Licania guianensis","Chrysobalanaceae",36.7,"O","C",1,6.48,11.14,37.8,778620.1783,9585357.543
"171","T02",78,"jatereu","Lecythis idatimon","Lecythidaceae",28.8,"O","S",2,12.24,18.14,28.7,778612.9259,9585358.979
"172","T02",79,"abiu cutite",NA,NA,47.2,"O","S",2,14.51,21.53,48,778613.1203,9585361.58
"173","T02",81,"liana",NA,NA,18,"L",NA,NA,NA,NA,18.5,778599.6779,9585358.975
"174","T02",83,"ucurana","Sloanea guianensis","Elaeocarpaceae",28.9,"O","S",2,13.64,21.84,28.9,778589.5053,9585360.73
"175","T02",84,"fava-core","Parkia nitida","Fabaceae",88.3,"O","E",1,12.43,23.56,89.2,778587.3645,9585364.91
"176","T02",85,"abiu cutite",NA,NA,26.5,"O","S",2,10.89,16.97,26.8,778571.792,9585360.065
"177","T02",87,"abiurana","Pouteria gongrijpii","Sapotaceae",46,"O","C",1,20.4,30.42,46.7,778578.3987,9585356.555
"178","T02",90,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",42,"O","C",1,21.12,31.48,41.9,778602.0206,9585357.496
"179","T02",92,"casca seca","Licania canescens","Chrysobalanaceae",36.8,"O","C",2,22.14,39.35,37.2,778641.5204,9585354.243
"180","T02",94,"guajara branco","Pouteria sp.","Sapotaceae",50.2,"O","S",2,13.32,19.84,51,778662.8849,9585351.242
"181","T02",97,"breu branco","Protium paniculatum","Burseraceae",15.7,"O","S",2,11.16,18.88,16.5,778674.3235,9585353.294
"182","T02",98,"cupiuba","Goupia glabra","Goupiaceae",63.8,"O","E",1,16.61,24.42,65,778694.1869,9585349.904
"183","T02",99,"morta",NA,NA,10.9,"O",NA,NA,NA,5.23,10.8,778715.302,9585350.131
"184","T02",100,"inga","Inga marginata","Fabaceae",10.8,"O","S",2,9.34,13.55,11.6,778746.5294,9585347.796
"185","T02",102,"sucupira","Diplotropis sp.","Fabaceae",51.4,"O","E",1,25.18,30.97,51.3,778769.7785,9585343.752
"186","T02",106,"angelim rajado","Zygia racemosa","Fabaceae",31.7,"O","S",1,14.97,21.71,34,778814.6495,9585340.974
"187","T02",107,"jatereu","Lecythis idatimon","Lecythidaceae",13.1,"O","S",2,7.07,11.66,13.4,778816.7414,9585340.516
"188","T02",109,"capueiro","Rinorea guianensis","Violaceae",18.3,"O","S",2,8.7,15.36,19.5,778824.2781,9585339.69
"189","T02",110,"abiu cutite",NA,NA,58.7,"O","E",1,18.14,27.99,59.1,778827.7843,9585337.144
"190","T02",111,"inga","Inga marginata","Fabaceae",10,"O","S",3,6.33,14,10.2,778830.6147,9585338.811
"191","T02",112,"capueiro","Rinorea guianensis","Violaceae",18.2,"O","S",2,10.52,17.27,18.6,778833.8101,9585337.621
"192","T02",113,"fava vermelha","Stryphnodendron pulcherrimum","Fabaceae",65,"O","E",1,29.07,39.82,66,778845.4267,9585331.148
"193","T02",114,"uxirana","Sacoglottis guianensis","Humiriaceae",28.7,"O","C",2,16.7,27.83,29.4,778849.0942,9585335.743
"194","T02",115,"matamata","Eschweilera amazonica","Lecythidaceae",21,"O","S",1,13.1,21.53,21,778850.0348,9585335.627
"195","T02",116,"macucu","Licania guianensis","Chrysobalanaceae",37,"O","C",1,13.66,23,38,778850.5041,9585335.561
"196","T02",117,"morta",NA,NA,41.3,"O",NA,NA,NA,31.44,41.3,778851.6554,9585335.219
"197","T02",119,"liana",NA,NA,10.6,"L",NA,NA,NA,NA,10.8,778859.314,9585335.386
"198","T02",120,"pintadinho","Poeppigia procera","Fabaceae",37.7,"O","C",2,22.25,25.64,38.2,778861.0854,9585334.261
"199","T02",121,"capueiro","Rinorea guianensis","Violaceae",17.5,"O","C",2,13.24,21.2,18,778865.1925,9585334.664
"200","T02",122,"casca seca","Licania canescens","Chrysobalanaceae",38,"O","S",2,11.44,17.6,38.2,778862.1304,9585331.111
"201","T02",123,"matamata","Eschweilera amazonica","Lecythidaceae",16.7,"O","S",1,10.56,17.37,17.4,778874.3638,9585332.734
"202","T02",125,"freijo branco","Cordia scabrifolia","Boraginaceae",40.5,"O","C",2,16.86,26.3,41.2,778880.7485,9585330.234
"203","T02",127,"morta",NA,NA,40.8,"O",NA,NA,NA,18.74,40.7,778901.9652,9585331.328
"204","T02",128,"matamata","Eschweilera amazonica","Lecythidaceae",45,"O","S",2,20.1,27.84,46,778907.7546,9585327.177
"205","T02",130,"matamata vermelho","Eschweilera coriacea","Lecythidaceae",56.8,"O","C",1,22.68,38.02,57.1,778937.285,9585326.434
"206","T02",131,"jatereu","Lecythis idatimon","Lecythidaceae",11,"O","S",2,9.98,15.29,11,778939.2672,9585327.796
"207","T02",132,"merauba","Mouriri collocarpa","Melastomataceae",25,"O","S",2,16.7,27.78,25.3,778943.9365,9585327.441
"208","T02",133,"matamata","Eschweilera amazonica","Lecythidaceae",14,"O","S",2,11.26,18,14,778945.8042,9585327.298
"209","T02",136,"tachi preto","Tachigali myrmecophila","Fabaceae",43.2,"O","E",1,25.72,31.88,51.1,778966.1968,9585323.733
