base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Cauaxi_PA,macucu,Licania guianensis,Chrysobalanaceae,FALSE,FALSE,,12.2,12.1,0,2,16.66,11.72,,,S,2,15,c015,,778939.3576,9585328.984
Cauaxi_PA,guajara branco,Pouteria sp,Sapotaceae,FALSE,FALSE,,55.4,55.7,0.15,2,36.12,20.91,,,C,1,55,c055,Shade-tolerant,778933.9669,9585332.203
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,37.9,38,0.05,2,35.23,20.21,,,C,2,35,c035,,778926.7353,9585329.744
Cauaxi_PA,muirapiranga,Brosimum rubescens,Moraceae,FALSE,FALSE,,74.5,76.5,1,2,43.72,28.64,,,C,1,75,c075,,778923.3033,9585334.017
Cauaxi_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,55.3,55.3,0,2,25.51,13.26,,,C,1,55,c055,,778922.2936,9585333.091
Cauaxi_PA,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,FALSE,FALSE,,10.9,10.2,0,2,10.14,4.8,,,C,1,15,c015,,778920.6804,9585330.405
Cauaxi_PA,uxirana,Sacoglottis guianensis,Humiriaceae,FALSE,FALSE,,22.8,23.2,0.2,2,20.45,11.44,,,S,2,25,c025,,778914.6704,9585331.657
Cauaxi_PA,tento,Ormosia grossa,Fabaceae,FALSE,FALSE,,17.4,17.4,0,2,13.34,11.24,,,S,2,15,c015,,778909.941,9585331.223
Cauaxi_PA,piquia,Caryocar villosum,Caryocaraceae,FALSE,FALSE,,88,88.3,0.15,2,35.15,22.01,,,E,1,85,c085,Emergent,778907.6063,9585331.4
Cauaxi_PA,preciosa,Aniba canelilla,Lauraceae,FALSE,FALSE,,10.3,10.8,0.25,2,11.39,5.79,,,S,2,15,c015,,778894.0957,9585332.829
Cauaxi_PA,mapatirana,Pourouma villosa,Urticaceae,FALSE,FALSE,,58.2,59.1,0.45,2,27.06,13.39,,,E,1,55,c055,,778880.9644,9585339.244
Cauaxi_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,40.8,47.7,3.45,2,31.01,20.7,,,C,1,45,c045,,778855.7713,9585337.635
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,20.4,20.8,0.2,2,24.54,14.77,,,S,2,25,c025,,778854.6478,9585336.261
Cauaxi_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,18.8,19.3,0.25,2,24.36,14.13,,,S,2,15,c015,,778836.1683,9585339.33
Cauaxi_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,27.2,27.2,0,2,22.94,12.45,,,S,2,25,c025,,778832.2973,9585338.907
Cauaxi_PA,coco-pau,Couepia robusta,Chrysobalanaceae,FALSE,FALSE,,43.4,49.7,3.15,2,35.38,26.53,,,C,1,45,c045,,778822.1984,9585340.248
