parcela,arvore,comum,cientifico,familia,dap2012,cc2012,hcom,ht,vertical,luminosidade,medicao,dap2014,cc2014
T01,175,inhare,Helicostylis sp.,Moraceae,35.3,37.5,13.26,19.2,C,1,20120127,35.4,37.5
T01,176,matamata preto,Eschweilera ovata,Lecythidaceae,35.3,37.5,9.93,18.11,C,1,20120127,36.6,37.5
T01,178,abiurana,Pouteria gongrijpii,Sapotaceae,48.5,47.5,15.04,26.54,C,1,20120127,49.7,47.5
T01,179,casca seca,Licania canescens,Chrysobalanaceae,46.4,47.5,13.95,20.39,E,1,20120127,46.9,47.5
T01,180,cajuacu,Anacardium spruceanum,Anacardiaceae,93.9,92.5,30.83,42.56,E,1,20120127,94.9,92.5
T01,181,parajuba,Manilkara bidentata,Sapotaceae,37,37.5,15.09,23.73,C,2,20120127,37,37.5
T01,182,tachi preto,Tachigali myrmecophila,Fabaceae,50.5,52.5,26.23,37.25,E,1,20120127,#N/A,#N/A
T01,183,louro preto,Nectandra cuspidata,Lauraceae,41.3,42.5,14.75,24.36,S,2,20120127,41.2,42.5
T01,184,matamata branco,Eschweilera coriacea,Lecythidaceae,39.1,37.5,18.51,28.87,C,1,20120127,39.9,37.5
T01,185,muirapiranga,Brosimum rubescens,Moraceae,56,57.5,24.8,37.88,E,1,20120127,55.9,57.5
T01,186,matamata vermelho,Eschweilera coriacea,Lecythidaceae,43.5,42.5,22.66,30.86,C,2,20120127,44.1,42.5
T01,187,matamata branco,Eschweilera coriacea,Lecythidaceae,36.8,37.5,24.16,41.8,C,2,20120127,40.4,42.5
T01,188,jatereu,Lecythis idatimon,Lecythidaceae,54,52.5,25.23,46.18,C,2,20120127,54.1,52.5
T02,1,abiurana,Pouteria gongrijpii,Sapotaceae,24.5,22.5,13.18,22.99,S,2,20120209,24.6,22.5
T02,2,casca seca,Licania canescens,Chrysobalanaceae,72.5,72.5,19.63,33.58,C,1,20120209,73.2,72.5
T02,4,timborana,Pseudopiptadenia suaveolens,Fabaceae,10.3,12.5,4.77,9.34,S,2,20120209,11,12.5
T02,6,inga,Inga marginata,Fabaceae,10.6,12.5,6.4,10.59,S,2,20120209,10.6,12.5
T02,8,jatereu,Lecythis idatimon,Lecythidaceae,15.5,17.5,10.01,16.03,S,2,20120209,16,17.5
T02,11,maracatiara,Astronium graveolens,Anacardiaceae,23.9,22.5,14.6,15.84,C,1,20120209,24,22.5
T02,13,parajuba,Manilkara bidentata,Sapotaceae,26.4,27.5,12.72,18.86,C,1,20120209,26.8,27.5
T02,14,inga,Inga marginata,Fabaceae,14.4,12.5,4.8,10.57,S,2,20120209,15.3,17.5
T02,16,louro,Ocotea canaliculata,Lauraceae,12.5,12.5,8.54,14.23,S,2,20120209,12.4,12.5
T02,17,breu branco,Protium paniculatum,Burseraceae,44.5,42.5,10.18,18.86,S,2,20120209,46.3,47.5
T02,18,tento,Ormosia grossa,Fabaceae,50,52.5,20.71,34.88,S,1,20120209,50.1,52.5
T02,19,macucu,Licania guianensis,Chrysobalanaceae,12.2,12.5,11.72,16.66,S,2,20120209,12.1,12.5
T02,20,guajara branco,Pouteria sp.,Sapotaceae,55.4,57.5,20.91,36.12,C,1,20120209,55.7,57.5
T02,22,casca seca,Licania canescens,Chrysobalanaceae,37.9,37.5,20.21,35.23,C,2,20120209,38,37.5
T02,23,muirapiranga,Brosimum rubescens,Moraceae,74.5,72.5,28.64,43.72,C,1,20120209,76.5,77.5
T02,24,abiurana,Pouteria gongrijpii,Sapotaceae,55.3,57.5,13.26,25.51,C,1,20120209,55.3,57.5
T02,25,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,10.9,12.5,4.8,10.14,C,1,20120209,10.2,12.5
T02,26,uxirana,Sacoglottis guianensis,Humiriaceae,22.8,22.5,11.44,20.45,S,2,20120209,23.2,22.5
T02,27,tento,Ormosia grossa,Fabaceae,17.4,17.5,11.24,13.34,S,2,20120209,17.4,17.5
T02,29,piquia,Caryocar villosum,Caryocaraceae,88,87.5,22.01,35.15,E,1,20120209,88.3,87.5
T02,31,preciosa,Aniba canelilla,Lauraceae,10.3,12.5,5.79,11.39,S,2,20120209,10.8,12.5
