parcela,arvore,comum,cientifico,familia,dap2012,vertical,luminosidade,hcom,ht,medicao
T03,59,pau amarelo,Euxylophora paraensis,Rutaceae,101.1,E,1,24.22,36.85,20120128
T03,68,seringueira,Hevea brasiliensis,Euphorbiaceae,38.7,E,1,17.71,26.5,20120128
T03,72,envira,Xylopia sp.,Annonaceae,60.2,C,1,22.27,36.43,20120128
T03,76,louro vermelho,Sextonia rubra,Lauraceae,60.6,S,2,16.42,29.44,20120128
T03,78,capueiro,Rinorea guianensis,Violaceae,47.3,S,2,4.38,7.78,20120128
T03,85,inhare,Helicostylis sp.,Moraceae,63.3,C,2,26.49,39.84,20120128
T03,87,macaranduba,Manilkara huberi,Sapotaceae,67,E,1,36.64,60.44,20120128
T03,91,louro preto,Ocotea cernua,Lauraceae,38.8,C,2,21.41,35.78,20120128
T03,95,morta,NA,NA,36,NA,NA,NA,2.29,20120128
T03,97,breu branco,Protium paniculatum,Burseraceae,39.7,C,2,25.34,31.05,20120128
T03,98,matamata,Eschweilera amazonica,Lecythidaceae,41.6,C,2,14.27,30.55,20120128
T03,102,abiurana,Pouteria gongrijpii,Sapotaceae,45.4,C,1,22.5,32.89,20120128
T03,103,pau amarelo,Euxylophora paraensis,Rutaceae,120,E,1,27.09,38.03,20120128
T03,107,timborana,Pseudopiptadenia suaveolens,Fabaceae,65,E,1,9.51,15.69,20120128
T03,109,macaranduba,Manilkara huberi,Sapotaceae,82,E,1,31.73,43.03,20120128
T03,111,parajuba,Manilkara bidentata,Sapotaceae,71,S,1,28.17,39.61,20120128
T03,116,taperebarana,Spondias sp.,Anacardiaceae,68.7,C,1,18.38,32.55,20120128
T03,119,parajuba,Manilkara bidentata,Sapotaceae,80,E,1,37.94,51.89,20120128
T03,120,breu vermelho,Protium hebetatum,Burseraceae,36.7,S,1,25.75,36.4,20120128
T03,143,caramuxi,Pouteria hispida,Sapotaceae,36.5,S,2,22.27,34.77,20120128
T03,146,uxirana,Sacoglottis guianensis,Humiriaceae,44.5,C,2,23.45,41,20120128
T03,148,copaiba,Copaifera reticulata,Fabaceae,69.3,E,1,28.79,47.58,20120128
T03,156,abiurana,Pouteria gongrijpii,Sapotaceae,63.3,C,1,26.06,35.79,20120128
T03,157,morta,NA,NA,49.8,NA,NA,NA,2.88,20120128
T03,161,fava-atana,Parkia gigantocarpa,Fabaceae,95,E,1,22.74,56.83,20120128
T03,169,inhare,Helicostylis sp.,Moraceae,51.6,C,1,20.22,28.13,20120128
T03,170,inga,Inga marginata,Fabaceae,38,C,2,15.96,24.65,20120128
T03,171,mapatirana,Pourouma villosa,Urticaceae,40.4,C,2,17.38,29.89,20120128
T03,172,breu vermelho,Protium hebetatum,Burseraceae,36.1,C,2,24.08,33.68,20120128
T03,173,jatereu,Lecythis idatimon,Lecythidaceae,37.3,C,2,20.7,28.94,20120128
T03,174,iperana,Eperua bijuga,Fabaceae,36.5,C,2,20.79,31.64,20120128
T03,175,iperana,Eperua bijuga,Fabaceae,36.5,C,2,20.56,29.21,20120128
T03,177,matamata preto,Eschweilera ovata,Lecythidaceae,35.6,C,1,21.22,29.68,20120128
T03,178,breu vermelho,Protium hebetatum,Burseraceae,48.5,C,1,22.05,29.02,20120128
T03,179,pente-de-macaco,Apeiba petoumo,Malvaceae,42.2,S,2,24.14,29.47,20120128
T03,180,mapatirana,Pourouma minor,Urticaceae,41.1,C,1,21.5,28.89,20120128
T03,181,barrote,Tetragastris altissima,Burseraceae,52.5,C,2,18.53,28.73,20120128
T03,182,matamata preto,Eschweilera ovata,Lecythidaceae,52.2,C,1,19.3,32.52,20120128
T03,183,abiurana,Pouteria gongrijpii,Sapotaceae,45.7,S,1,12.13,19.41,20120128
T03,184,abiurana,Pouteria gongrijpii,Sapotaceae,43.9,C,2,19.45,30.01,20120128
T03,185,tauari,Couratari stellata,Lecythidaceae,50,C,1,24.09,37.17,20120128
T03,186,axixa,Sterculia pruriens,Malvaceae,46.5,C,1,19.15,28.55,20120128
T03,187,matamata branco,Eschweilera coriacea,Lecythidaceae,46.5,S,2,24.53,35.72,20120128
T03,188,matamata,Eschweilera parviflora,Lecythidaceae,44,S,1,11.02,13.63,20120128
T04,4,andirobarana,Guarea guidonia,Meliaceae,35.6,C,2,13.65,25.09,20120211
T04,12,piquiarana,Caryocar glabrum,Caryocaraceae,54,S,2,14.53,24.79,20120211
T04,13,angelim vermelho,Dinizia excelsa,Fabaceae,200,S,1,39.54,63.85,20120211
T04,30,morta,NA,NA,51.5,NA,NA,NA,11.3,20120211
T04,35,anani,Symphonia globulifera,Clusiaceae,40.4,C,2,20.1,29.97,20120211
T04,42,muirapiranga,Brosimum rubescens,Moraceae,55,C,2,17.85,27.84,20120211
T04,44,louro preto,Nectandra cuspidata,Lauraceae,65,C,2,22.11,37.8,20120211
T04,47,cajuacu,Anacardium spruceanum,Anacardiaceae,72.5,C,2,24.54,38.87,20120211
T04,58,uxirana,Sacoglottis guianensis,Humiriaceae,50.6,C,2,22.53,35.62,20120211
T04,60,tachi vermelho,Tachigali paniculata,Fabaceae,72.7,S,2,22.19,38.64,20120211
T04,62,casca seca,Licania canescens,Chrysobalanaceae,40.7,C,2,11.59,24.15,20120211
T04,63,matamata,Eschweilera parviflora,Lecythidaceae,40.8,C,2,19.53,31.4,20120211
T04,67,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,80,C,2,27.39,47.29,20120211
T04,69,caramuxi,Pouteria hispida,Sapotaceae,46.3,C,2,21.42,28.14,20120211
T04,71,barrote,Tetragastris altissima,Burseraceae,51.9,C,2,26.67,38.2,20120211
T04,74,iperana,Eperua bijuga,Fabaceae,58.1,C,2,19.93,32.91,20120211
T04,75,abiurana,Pouteria gongrijpii,Sapotaceae,39.9,S,2,23.34,36.4,20120211
T04,79,jatereu,Lecythis idatimon,Lecythidaceae,37.1,C,2,14.82,24.23,20120211
T04,83,matamata preto,Eschweilera ovata,Lecythidaceae,51.8,C,2,19.29,25.71,20120211
T04,87,matamata branco,Eschweilera coriacea,Lecythidaceae,39.1,C,2,19.8,28.91,20120211
T04,89,seringarana,Micrandra minor,Euphorbiaceae,57.6,C,2,21.73,35.67,20120211
T04,94,matamata branco,Eschweilera coriacea,Lecythidaceae,61.7,C,2,22.3,32.7,20120211
T04,96,copaiba,Copaifera reticulata,Fabaceae,48.7,C,2,17.17,29.63,20120211
T04,99,barrote,Tetragastris altissima,Burseraceae,45.6,C,2,19.21,30.84,20120211
T04,100,jatereu,Lecythis idatimon,Lecythidaceae,74,S,3,4.32,7.77,20120211
T04,102,breu vermelho,Protium hebetatum,Burseraceae,46.9,C,2,11.43,18.01,20120211
T04,108,abiurana,Pouteria gongrijpii,Sapotaceae,39.9,C,2,14.53,21.73,20120211
T04,111,tachi preto,Tachigali myrmecophila,Fabaceae,60,E,1,19.74,45.45,20120211
T04,117,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,41,C,2,12.74,30.94,20120211
T04,118,seringarana,Micrandra minor,Euphorbiaceae,55.1,C,2,14.41,31.89,20120211
T04,124,morta,NA,NA,50,NA,NA,NA,22.13,20120211
T04,125,abiurana,Pouteria gongrijpii,Sapotaceae,39.5,C,2,22.67,32.09,20120211
T04,127,pau santo,Zollernia paraensis,Fabaceae,69.2,C,2,17.33,35.88,20120211
